,F_1,F_2,F_3,F_4,F_5,F_6,F_7,F_8,F_9,F_10,F_11,F_12,F_13,F_14,F_15,F_16,F_17,F_18,F_19,F_20,target_cls,target_reg
17,1,0,1,0,0,6,8,6,3,7,5,7,2,7,4,11,3.14,3.75,0.0,61.199999999999996,18,3.31
18,3,2,4,3,2,8,9,5,7,5,9,8,3,9,1,8,12.56,8.75,1.34,51.6,21,6.279999999999999
19,3,5,4,3,2,8,8,2,7,10,5,6,1,9,5,8,12.56,8.75,3.35,21.9,19,5.979999999999999
20,7,11,8,6,5,6,9,3,5,10,6,8,6,7,5,7,25.12,6.25,7.37,33.9,8,9.32
21,4,3,5,5,2,8,9,7,6,6,8,9,3,8,5,9,15.700000000000001,7.5,2.0100000000000002,72.3,17,7.42
22,5,9,6,7,2,9,11,2,2,6,12,8,1,11,0,8,18.84,2.5,6.03,23.099999999999998,25,9.31
23,2,2,4,3,1,6,2,2,2,5,2,8,2,6,2,6,12.56,2.5,1.34,21.0,1,2.9199999999999995
24,6,9,6,4,3,10,7,2,8,9,4,7,4,10,4,9,18.84,10.0,6.03,23.099999999999998,24,8.069999999999999
25,10,15,8,8,4,9,3,4,5,10,2,9,4,5,6,10,25.12,6.25,10.05,45.3,19,9.040000000000001
26,4,7,6,5,5,10,6,1,7,11,4,8,3,8,5,11,18.84,8.75,4.69,12.299999999999999,5,7.539999999999997
27,5,7,7,5,4,6,8,2,9,11,6,9,2,8,4,8,21.98,11.25,4.69,22.5,5,7.579999999999998
28,3,7,5,4,1,7,10,2,2,6,13,8,1,11,0,8,15.700000000000001,2.5,4.69,22.5,25,7.67
29,4,7,5,5,3,7,6,7,7,11,6,11,2,10,4,9,15.700000000000001,8.75,4.69,73.49999999999999,7,7.469999999999997
30,3,3,5,2,2,6,8,3,8,11,8,9,2,9,4,7,15.700000000000001,10.0,2.0100000000000002,31.499999999999996,5,6.229999999999999
31,1,2,2,3,1,10,6,2,6,12,4,8,1,6,1,7,6.28,7.5,1.34,21.0,10,3.8300000000000005
32,3,10,4,8,4,7,7,6,10,6,6,8,1,8,8,8,12.56,12.5,6.7,64.19999999999999,26,8.009999999999998
33,4,9,6,7,6,9,7,2,6,7,5,6,3,8,6,8,18.84,7.5,6.03,23.099999999999998,24,8.26
34,4,8,4,6,3,7,7,6,7,11,6,10,2,10,4,9,12.56,8.75,5.36,63.599999999999994,7,7.639999999999999
35,4,5,6,4,4,8,6,2,4,9,6,8,7,5,2,8,18.84,5.0,3.35,21.9,13,6.470000000000002
36,5,8,7,6,6,9,9,5,4,7,5,7,3,8,9,5,21.98,5.0,5.36,53.4,26,9.209999999999997
37,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8,18.84,7.5,6.7,145.79999999999998,21,8.26
38,3,7,3,5,1,0,1,6,6,0,0,6,0,8,0,8,9.42,7.5,4.69,63.3,12,2.0000000000000004
39,1,3,1,2,0,7,7,1,8,7,6,8,0,8,3,8,3.14,10.0,2.0100000000000002,11.1,9,4.070000000000002
40,3,4,5,3,2,5,7,2,7,10,9,11,3,8,3,7,15.700000000000001,8.75,2.68,21.599999999999998,11,6.399999999999999
41,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,6.28,8.75,2.68,1.2,9,4.32
42,6,11,8,8,5,6,9,3,11,11,9,6,2,8,6,5,25.12,13.75,7.37,33.9,26,9.48
43,5,9,5,7,4,3,11,2,3,9,11,8,3,12,1,7,15.700000000000001,3.75,6.03,23.099999999999998,22,8.889999999999999
44,3,8,5,6,4,5,6,4,7,7,7,11,3,8,5,9,15.700000000000001,8.75,5.36,43.199999999999996,11,7.459999999999999
45,4,5,6,7,8,7,8,3,2,8,8,9,4,11,8,5,18.84,2.5,3.35,32.099999999999994,25,9.68
46,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6,25.12,8.75,7.37,64.5,21,9.74
47,5,9,8,7,10,8,6,4,4,6,7,8,10,9,5,8,25.12,5.0,6.03,43.5,21,10.339999999999998
48,5,11,5,8,4,6,6,10,7,6,7,7,2,8,9,10,15.700000000000001,8.75,7.37,105.3,2,8.549999999999999
49,6,9,9,6,7,9,6,2,5,9,5,7,8,6,2,8,28.26,6.25,6.03,23.099999999999998,13,8.590000000000002
50,4,8,6,6,6,7,8,2,7,7,6,7,1,9,9,8,18.84,8.75,5.36,22.799999999999997,26,8.509999999999998
51,8,10,12,8,9,4,8,3,5,10,10,10,13,8,5,8,37.68,6.25,6.7,33.599999999999994,13,12.139999999999999
52,2,3,3,2,2,8,7,3,5,10,5,7,2,8,4,10,9.42,6.25,2.0100000000000002,31.499999999999996,2,5.029999999999999
53,2,6,2,4,1,0,1,5,6,0,0,7,0,8,0,8,6.28,7.5,4.0200000000000005,52.8,12,1.5599999999999992
54,3,4,4,6,2,7,7,9,6,7,6,8,3,8,4,8,12.56,7.5,2.68,93.0,15,6.309999999999999
55,4,8,4,6,2,1,11,5,7,12,11,9,0,8,2,6,12.56,8.75,5.36,53.4,6,6.9399999999999995
56,4,7,6,5,4,8,6,5,5,8,7,7,3,7,4,6,18.84,6.25,4.69,53.1,10,7.07
57,4,6,4,4,2,3,12,4,3,11,11,7,2,10,1,7,12.56,3.75,4.0200000000000005,42.599999999999994,22,7.040000000000001
58,5,11,7,8,6,7,11,2,7,7,11,8,2,12,1,8,21.98,8.75,7.37,23.7,20,10.36
59,2,5,4,4,1,9,6,2,7,14,5,10,1,6,1,7,12.56,8.75,3.35,21.9,10,5.08
60,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8,34.54,6.25,6.7,23.4,13,10.779999999999998
61,3,4,4,2,2,7,7,7,5,7,5,8,2,8,3,8,12.56,6.25,2.68,72.6,15,5.289999999999999
62,2,5,4,4,2,6,10,1,7,8,11,9,1,11,2,7,12.56,8.75,3.35,11.7,25,7.219999999999999
63,4,11,6,8,6,6,7,6,6,6,5,8,3,6,6,9,18.84,7.5,7.37,64.5,18,8.11
64,4,4,7,3,3,7,7,3,5,9,7,8,9,7,2,7,21.98,6.25,2.68,31.799999999999997,13,6.959999999999999
65,3,6,6,4,3,7,5,2,3,6,2,6,2,6,3,5,18.84,3.75,4.0200000000000005,22.2,1,4.83
66,4,7,5,5,6,9,7,6,1,7,7,9,7,9,3,9,15.700000000000001,1.25,4.69,63.3,15,8.489999999999998
67,5,8,5,6,4,6,7,6,8,8,6,8,6,10,4,3,15.700000000000001,10.0,5.36,63.599999999999994,21,8.109999999999998
68,5,11,6,8,8,8,7,4,6,7,6,6,6,8,6,10,18.84,7.5,7.37,44.099999999999994,2,9.440000000000001
69,5,9,5,7,2,7,4,14,5,7,14,8,3,9,0,8,15.700000000000001,6.25,6.03,145.49999999999997,21,7.839999999999998
70,3,5,6,4,3,8,7,2,10,12,6,9,1,8,6,8,18.84,12.5,3.35,21.9,26,6.91
71,3,7,6,5,4,5,5,3,3,3,2,6,4,6,4,4,18.84,3.75,4.69,32.699999999999996,1,5.309999999999999
72,5,10,6,8,7,8,7,4,7,7,6,9,5,7,5,7,18.84,8.75,6.7,43.8,20,9.15
73,3,8,5,6,3,12,3,2,2,10,2,9,2,6,2,8,15.700000000000001,2.5,5.36,22.799999999999997,1,5.98
74,3,6,3,4,2,3,8,6,10,7,6,15,0,8,7,7,9.42,12.5,4.0200000000000005,62.99999999999999,5,6.729999999999999
75,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8,12.56,10.0,5.36,104.4,4,6.24
76,5,10,7,8,7,8,5,8,3,6,7,8,4,7,7,8,21.98,3.75,6.7,84.6,17,9.140000000000002
77,5,7,7,6,9,6,8,6,5,6,6,8,8,9,8,8,21.98,6.25,4.69,63.3,23,9.74
78,5,7,5,5,4,4,11,2,2,9,8,7,6,11,2,6,15.700000000000001,2.5,4.69,22.5,23,8.230000000000002
79,7,9,7,7,5,3,8,5,7,10,9,9,3,9,2,6,21.98,8.75,6.03,53.7,21,8.56
80,4,11,6,8,5,7,4,2,1,7,1,8,2,7,2,7,18.84,1.25,7.37,23.7,1,6.49
81,1,1,2,2,1,7,7,11,1,5,6,8,4,8,0,8,6.28,1.25,0.67,112.49999999999999,14,4.109999999999999
82,4,10,5,7,3,8,14,1,5,6,10,9,0,8,0,8,15.700000000000001,6.25,6.7,13.2,20,8.799999999999999
83,2,1,3,2,1,6,8,7,8,8,8,13,1,9,4,10,9.42,10.0,0.67,71.69999999999999,3,5.84
84,6,9,7,10,8,9,9,6,3,4,8,11,5,9,9,13,21.98,3.75,6.03,63.9,17,11.789999999999997
85,4,8,6,6,6,8,9,7,5,6,6,8,3,7,7,4,18.84,6.25,5.36,73.8,1,8.56
86,6,6,9,6,9,9,8,5,4,7,6,7,11,9,6,3,28.26,5.0,4.0200000000000005,52.8,13,10.45
87,3,5,5,3,2,8,7,3,9,6,6,9,3,7,7,9,15.700000000000001,11.25,3.35,32.099999999999994,24,6.700000000000001
88,6,8,6,6,3,4,10,2,8,11,11,5,1,10,3,4,18.84,10.0,5.36,22.799999999999997,25,8.049999999999997
89,5,11,7,8,6,7,6,7,8,6,5,8,2,10,8,12,21.98,10.0,7.37,74.69999999999999,7,9.299999999999997
90,5,10,6,8,7,9,7,3,5,7,6,8,7,8,6,9,18.84,6.25,6.7,33.599999999999994,2,9.739999999999998
91,5,9,7,6,6,6,8,5,6,7,5,8,3,7,5,9,21.98,7.5,6.03,53.7,18,8.049999999999999
92,3,8,6,6,6,8,7,1,4,10,6,7,5,9,4,5,18.84,5.0,5.36,12.6,6,8.069999999999999
93,6,9,6,6,4,5,7,6,6,9,8,10,2,8,5,9,18.84,7.5,6.03,63.9,7,8.27
94,6,9,5,4,3,6,8,3,4,10,8,5,3,10,4,4,15.700000000000001,5.0,6.03,33.3,25,7.659999999999998
95,3,3,3,4,1,3,6,7,2,7,6,11,3,8,2,11,9.42,2.5,2.0100000000000002,72.3,11,4.92
96,2,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8,6.28,0.0,0.0,112.19999999999999,14,3.86
97,1,3,3,2,1,7,8,2,9,11,6,8,1,8,5,7,9.42,11.25,2.0100000000000002,21.299999999999997,26,5.0699999999999985
98,4,5,5,6,4,9,8,5,4,6,5,8,3,8,9,8,15.700000000000001,5.0,3.35,52.5,10,8.089999999999998
99,9,13,8,7,4,8,7,5,5,11,3,6,5,9,4,8,25.12,6.25,8.71,54.9,16,9.259999999999998
100,5,11,6,8,5,4,10,5,6,11,11,6,2,10,3,5,18.84,7.5,7.37,54.3,6,9.099999999999998
101,2,0,3,1,1,7,5,11,5,7,14,8,3,10,0,8,9.42,6.25,0.0,112.19999999999999,21,5.23
102,5,8,6,6,6,5,7,5,7,6,6,13,3,8,6,9,18.84,8.75,5.36,53.4,11,8.629999999999999
103,5,7,7,5,6,7,8,5,5,7,6,8,4,11,9,10,21.98,6.25,4.69,53.1,6,9.389999999999999
104,7,10,7,8,4,2,12,2,3,10,11,8,2,10,1,8,21.98,3.75,6.7,23.4,22,9.299999999999999
105,4,5,6,6,5,7,7,4,6,6,6,7,3,9,8,9,18.84,7.5,3.35,42.3,10,7.909999999999998
106,4,11,5,8,3,9,14,0,5,6,10,8,0,8,0,8,15.700000000000001,6.25,7.37,3.3,20,9.1
107,3,6,5,4,3,7,9,6,6,5,9,9,3,9,1,8,15.700000000000001,7.5,4.0200000000000005,62.99999999999999,21,7.199999999999999
108,3,8,6,6,1,6,8,4,3,7,14,8,3,9,0,8,18.84,3.75,5.36,43.199999999999996,22,7.769999999999998
109,4,8,6,6,4,6,10,3,7,10,9,5,2,10,4,5,18.84,8.75,5.36,33.0,6,8.15
110,8,11,8,8,4,3,11,2,9,12,11,5,0,10,2,4,25.12,11.25,7.37,23.7,25,9.21
111,6,9,8,8,9,7,7,5,4,8,7,9,8,11,10,12,25.12,5.0,6.03,53.7,5,11.54
112,4,5,5,5,5,7,9,5,5,7,8,11,5,9,7,9,15.700000000000001,6.25,3.35,52.5,5,8.91
113,6,8,5,6,3,4,12,1,2,8,10,7,4,12,1,8,15.700000000000001,2.5,5.36,12.6,22,8.8
114,4,8,6,6,4,7,8,3,7,10,4,7,2,7,4,8,18.84,8.75,5.36,33.0,19,6.959999999999999
115,3,6,4,4,3,6,7,5,7,7,6,10,3,8,5,9,12.56,8.75,4.0200000000000005,52.8,11,6.67
116,2,3,3,4,2,8,6,11,1,6,9,8,7,5,0,8,9.42,1.25,2.0100000000000002,113.1,13,5.359999999999999
117,9,11,7,6,4,9,9,6,5,6,10,5,6,13,3,7,21.98,6.25,7.37,64.5,22,10.809999999999997
118,4,4,6,6,2,8,5,8,9,6,5,10,2,8,5,10,18.84,11.25,2.68,82.8,7,6.73
119,4,6,5,5,5,7,9,2,6,8,6,8,3,6,6,7,15.700000000000001,7.5,4.0200000000000005,22.2,24,7.390000000000001
120,2,0,2,1,1,6,7,8,6,7,6,6,2,8,3,8,6.28,7.5,0.0,81.6,4,3.760000000000001
121,2,4,2,3,2,7,7,5,7,7,6,8,2,8,5,10,6.28,8.75,2.68,52.2,5,5.450000000000001
122,6,8,6,9,7,7,8,6,3,8,8,10,3,9,6,7,18.84,3.75,5.36,63.599999999999994,17,9.919999999999998
123,4,11,5,8,3,9,6,0,8,14,5,8,0,8,1,8,15.700000000000001,10.0,7.37,3.3,9,7.140000000000001
124,5,7,7,5,4,10,8,4,6,10,1,4,5,9,1,7,21.98,7.5,4.69,42.9,14,6.859999999999999
125,7,9,7,7,3,3,8,4,9,10,10,13,1,7,3,7,21.98,11.25,6.03,43.5,3,8.559999999999999
126,3,8,4,6,4,6,7,3,7,8,6,9,0,9,9,7,12.56,8.75,5.36,33.0,26,7.639999999999999
127,12,14,12,8,5,1,10,4,2,11,12,9,8,10,0,7,37.68,2.5,9.38,45.0,23,11.809999999999999
128,3,1,4,3,3,6,6,6,4,7,7,10,7,5,2,9,12.56,5.0,0.67,61.49999999999999,13,5.34
129,3,4,5,3,2,4,12,3,3,9,11,7,2,11,1,8,15.700000000000001,3.75,2.68,31.799999999999997,22,6.950000000000001
130,6,8,8,10,7,11,5,4,5,8,2,6,2,7,7,8,25.12,6.25,5.36,43.199999999999996,26,8.690000000000001
131,1,3,2,2,1,11,6,2,6,11,3,7,0,7,0,8,6.28,7.5,2.0100000000000002,21.299999999999997,10,3.590000000000001
132,5,8,7,6,4,5,9,4,10,12,10,8,2,8,5,3,21.98,12.5,5.36,43.199999999999996,5,8.48
133,5,11,7,8,5,8,8,1,6,13,6,5,1,9,3,9,21.98,7.5,7.37,13.5,16,8.349999999999998
134,5,10,5,8,5,7,7,12,1,6,6,8,6,7,1,10,15.700000000000001,1.25,6.7,125.39999999999999,14,7.970000000000001
135,9,15,8,8,4,6,11,6,4,10,10,4,5,12,3,9,25.12,5.0,10.05,65.69999999999999,22,11.19
136,6,6,6,8,3,7,4,15,5,7,14,8,3,9,0,8,18.84,6.25,4.0200000000000005,154.8,21,8.03
137,6,9,6,7,3,4,9,2,8,10,11,6,2,10,4,3,18.84,10.0,6.03,23.099999999999998,25,8.569999999999999
138,1,0,1,0,0,7,8,10,1,7,6,8,2,8,0,8,3.14,1.25,0.0,102.0,8,3.3400000000000003
139,2,7,3,5,2,8,7,7,7,7,7,8,2,9,9,8,9.42,8.75,4.69,73.49999999999999,19,7.369999999999999
140,5,5,5,7,4,6,7,9,6,7,6,6,2,8,9,10,15.700000000000001,7.5,3.35,93.3,2,7.499999999999998
141,2,3,3,2,2,8,7,3,9,6,6,8,2,8,5,8,9.42,11.25,2.0100000000000002,31.499999999999996,24,5.470000000000001
142,6,7,8,9,10,9,9,3,3,6,9,6,6,10,7,4,25.12,3.75,4.69,32.699999999999996,16,11.23
143,6,9,7,7,3,3,9,5,8,10,10,12,1,8,3,7,21.98,10.0,6.03,53.7,3,8.609999999999996
144,3,8,4,6,4,8,7,5,9,6,4,8,2,8,6,9,12.56,11.25,5.36,53.4,5,7.130000000000001
145,4,9,6,7,5,7,7,9,4,8,7,4,4,8,4,8,18.84,5.0,6.03,94.5,4,7.65
146,4,5,7,8,2,7,8,4,3,7,14,8,3,9,0,8,21.98,3.75,3.35,42.3,22,8.269999999999998
147,5,10,7,7,4,10,7,3,5,10,2,5,6,9,1,7,21.98,6.25,6.7,33.599999999999994,14,7.789999999999999
148,3,7,4,5,3,3,7,6,3,7,6,11,3,8,3,11,12.56,3.75,4.69,63.3,11,6.309999999999999
149,3,7,5,5,2,5,4,2,10,6,1,9,0,7,3,6,15.700000000000001,12.5,4.69,22.5,12,4.5600000000000005
150,5,11,6,8,6,8,8,8,6,5,7,9,3,5,7,11,18.84,7.5,7.37,84.89999999999999,7,9.170000000000002
151,1,0,2,1,1,6,10,7,2,7,5,8,2,7,4,9,6.28,2.5,0.0,71.39999999999999,18,4.210000000000001
152,8,8,8,6,5,4,11,3,3,9,9,7,8,11,2,6,25.12,3.75,5.36,33.0,23,9.93
153,2,3,3,1,1,8,7,7,5,7,6,8,2,8,3,8,9.42,6.25,2.0100000000000002,72.3,15,4.889999999999999
154,6,10,8,8,6,8,7,2,9,12,5,8,1,7,6,8,25.12,11.25,6.7,23.4,26,8.840000000000002
155,3,4,4,5,2,6,10,9,4,7,4,8,3,7,5,10,12.56,5.0,2.68,93.0,18,6.18
156,4,9,4,7,4,2,7,5,8,7,6,14,0,8,6,9,12.56,10.0,6.03,53.7,5,7.51
157,3,3,5,4,1,8,6,3,1,7,1,8,2,7,1,8,15.700000000000001,1.25,2.0100000000000002,31.499999999999996,1,4.380000000000001
158,7,12,5,6,2,9,6,5,5,13,3,8,3,7,5,10,15.700000000000001,6.25,8.040000000000001,54.6,9,7.799999999999999
159,3,7,4,4,2,4,12,8,2,10,6,4,1,10,4,8,12.56,2.5,4.69,83.69999999999999,16,6.33
160,5,10,5,5,2,7,4,3,6,11,4,13,2,6,6,8,15.700000000000001,7.5,6.7,33.599999999999994,12,7.110000000000001
161,8,11,11,8,5,7,8,3,5,10,6,7,7,7,2,7,34.54,6.25,7.37,33.9,14,9.72
162,3,3,4,2,1,4,12,3,3,10,11,7,2,11,1,7,12.56,3.75,2.0100000000000002,31.499999999999996,22,6.400000000000002
163,4,8,6,6,4,6,9,7,6,9,7,4,2,10,4,6,18.84,7.5,5.36,73.8,16,7.540000000000001
164,4,6,6,4,5,8,7,7,3,8,5,7,4,7,7,10,18.84,3.75,4.0200000000000005,73.19999999999999,18,7.360000000000001
165,3,5,3,3,3,7,7,5,5,6,6,6,2,8,6,10,9.42,6.25,3.35,52.5,2,5.879999999999999
166,3,6,4,4,3,8,7,4,5,10,5,5,3,8,3,8,12.56,6.25,4.0200000000000005,42.599999999999994,4,5.84
167,5,8,7,7,6,7,7,4,5,6,7,8,7,8,2,7,21.98,6.25,5.36,43.199999999999996,21,8.570000000000002
168,3,8,4,5,1,7,7,4,4,7,6,8,3,8,4,8,12.56,5.0,5.36,43.199999999999996,24,6.549999999999999
169,4,9,6,7,6,8,7,7,3,8,5,7,4,7,7,10,18.84,3.75,6.03,74.1,18,8.330000000000002
170,2,6,4,4,5,9,6,4,3,6,6,7,6,9,7,7,12.56,3.75,4.0200000000000005,42.599999999999994,8,7.5
171,7,11,9,8,7,10,8,5,1,6,10,7,10,12,2,5,28.26,1.25,7.37,54.3,23,11.88
172,4,10,4,8,4,3,8,5,9,7,6,14,0,8,6,8,12.56,11.25,6.7,54.0,5,8.120000000000001
173,5,9,7,6,8,6,7,3,6,7,6,10,5,9,5,7,21.98,7.5,6.03,33.3,20,9.17
174,5,7,6,5,5,9,11,5,4,6,5,7,3,8,8,5,18.84,5.0,4.69,53.1,26,8.849999999999998
175,6,8,7,6,5,4,8,5,7,9,7,9,4,8,3,4,21.98,8.75,5.36,53.4,21,8.069999999999999
176,4,10,5,8,3,7,6,8,8,6,5,10,2,8,6,11,15.700000000000001,10.0,6.7,84.6,7,7.959999999999999
177,3,3,4,2,1,7,12,2,7,7,11,8,1,11,1,7,12.56,8.75,2.0100000000000002,21.299999999999997,20,6.9
178,1,0,1,0,0,8,7,3,5,7,6,8,2,8,3,7,3.14,6.25,0.0,30.599999999999998,24,3.7800000000000007
179,3,4,4,3,2,7,7,3,9,6,6,10,2,8,6,7,12.56,11.25,2.68,31.799999999999997,24,6.32
180,3,5,5,3,2,8,2,2,2,8,2,8,2,6,3,7,15.700000000000001,2.5,3.35,21.9,1,4.210000000000001
181,2,3,3,2,2,6,7,7,5,7,6,10,3,8,3,9,9.42,6.25,2.0100000000000002,72.3,8,5.25
182,1,4,2,3,1,7,4,1,7,7,2,10,0,7,2,8,6.28,8.75,2.68,11.399999999999999,12,3.4599999999999995
183,4,10,5,7,2,7,7,5,4,7,6,8,3,8,4,8,15.700000000000001,5.0,6.7,54.0,24,7.539999999999999
184,3,9,5,7,1,9,8,4,3,6,14,8,3,10,0,8,15.700000000000001,3.75,6.03,43.5,22,8.57
185,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,8,12.56,8.75,2.68,11.399999999999999,25,6.800000000000001
186,3,7,3,5,1,0,1,6,6,0,0,6,0,8,0,8,9.42,7.5,4.69,63.3,12,2.0000000000000004
187,4,10,6,7,4,8,7,2,10,11,6,8,1,7,6,8,18.84,12.5,6.7,23.4,26,7.979999999999999
188,5,8,7,6,6,6,8,3,7,11,9,9,3,8,5,6,21.98,8.75,5.36,33.0,5,8.839999999999998
189,5,11,6,8,6,6,6,6,4,8,6,9,5,9,7,10,18.84,5.0,7.37,64.5,16,9.32
190,4,9,6,8,6,9,6,2,4,9,3,8,5,6,7,11,18.84,5.0,6.03,23.099999999999998,11,8.25
191,6,12,6,6,4,9,4,3,4,12,7,11,3,10,5,11,18.84,5.0,8.040000000000001,34.199999999999996,12,9.259999999999998
192,3,4,6,6,2,9,3,3,3,8,2,9,3,6,3,9,18.84,3.75,2.68,31.799999999999997,1,5.26
193,6,11,4,6,2,6,8,7,6,11,7,7,2,9,5,8,12.56,7.5,7.37,74.69999999999999,3,7.93
194,6,12,5,7,4,7,6,4,6,9,5,6,5,9,7,6,15.700000000000001,7.5,8.040000000000001,44.4,4,8.65
195,3,5,3,4,3,7,7,5,7,7,6,9,2,8,5,10,9.42,8.75,3.35,52.5,5,6.299999999999999
196,5,7,7,6,6,7,4,5,5,6,5,9,5,4,7,7,21.98,6.25,4.69,53.1,17,7.41
197,8,12,5,6,3,8,6,5,7,11,6,9,2,10,8,9,15.700000000000001,8.75,8.040000000000001,54.6,5,9.389999999999997
198,3,5,5,7,1,7,10,1,3,7,12,8,1,11,0,8,15.700000000000001,3.75,3.35,11.7,25,7.709999999999999
199,5,11,7,8,8,8,6,4,4,8,5,5,6,6,6,3,21.98,5.0,7.37,44.099999999999994,10,8.76
200,2,1,3,3,2,8,7,6,6,7,6,8,3,8,3,7,9.42,7.5,0.67,61.49999999999999,8,5.18
201,6,11,11,8,8,7,5,2,5,5,1,6,6,8,6,6,34.54,6.25,7.37,23.7,1,9.05
202,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8,25.12,6.25,8.040000000000001,34.199999999999996,18,9.889999999999999
203,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8,18.84,3.75,7.37,23.7,25,9.110000000000001
204,4,8,5,5,1,7,7,4,4,7,6,8,3,8,4,8,15.700000000000001,5.0,5.36,43.199999999999996,24,6.85
205,3,4,3,3,3,7,7,5,8,7,6,9,2,8,6,9,9.42,10.0,2.68,52.2,5,6.17
206,2,0,3,1,0,8,4,2,0,7,2,8,2,6,1,8,9.42,0.0,0.0,20.4,1,2.6
207,6,10,8,7,7,8,5,8,5,7,6,5,5,7,8,8,25.12,6.25,6.7,84.6,17,8.989999999999998
208,1,0,1,0,0,8,7,6,4,7,6,8,2,8,2,8,3.14,5.0,0.0,61.199999999999996,15,3.6300000000000003
209,2,0,2,1,0,2,1,6,5,0,2,4,0,8,0,8,6.28,6.25,0.0,61.199999999999996,12,0.3999999999999999
210,5,6,5,4,2,4,9,5,7,12,11,8,3,9,1,6,15.700000000000001,8.75,4.0200000000000005,52.8,21,7.07
211,2,8,2,6,1,15,3,5,5,13,0,8,0,7,0,8,6.28,6.25,5.36,53.4,10,4.82
212,6,9,8,7,6,8,4,9,5,7,4,8,3,8,4,8,25.12,6.25,6.03,94.5,17,8.019999999999998
213,5,7,7,5,5,8,7,2,4,9,7,8,7,6,2,8,21.98,5.0,4.69,22.5,13,7.8100000000000005
214,3,4,4,2,3,8,7,6,6,7,6,8,6,8,4,7,12.56,7.5,2.68,62.4,8,6.359999999999999
215,4,10,6,9,3,8,6,9,6,6,6,8,3,8,5,9,18.84,7.5,6.7,94.8,17,8.249999999999998
216,2,5,3,4,2,7,7,5,9,6,6,8,1,8,7,8,9.42,11.25,3.35,52.5,26,6.050000000000001
217,1,3,2,2,1,10,6,2,5,12,4,9,0,7,1,7,6.28,6.25,2.0100000000000002,21.299999999999997,10,4.01
218,2,4,3,5,1,5,14,1,6,9,11,7,0,8,0,8,9.42,7.5,2.68,11.399999999999999,20,6.25
219,6,11,5,6,2,5,10,2,7,13,7,5,2,8,4,4,15.700000000000001,8.75,7.37,23.7,20,7.639999999999999
220,5,8,5,6,4,5,12,4,5,12,9,5,2,12,1,5,15.700000000000001,6.25,5.36,43.199999999999996,20,8.26
221,7,11,9,8,9,8,6,7,5,8,6,8,7,7,6,12,28.26,6.25,7.37,74.69999999999999,18,10.36
222,6,11,10,8,5,10,7,2,9,11,1,6,4,9,4,10,31.400000000000002,11.25,7.37,23.7,24,8.979999999999999
